Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
CEBPA	C/EBP-alpha, CEBP	ENSG00000245848	CCAAT/enhancer binding protein alpha	19	33299934-33302564	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA052734, HPA065037, HPA067937	Approved		Approved	Nucleoplasm<br>Vesicles		Expressed in all	Expressed in all			adipose tissue: 108.0	Cell line enhanced		BEWO: 187.4;THP-1: 270.7;U-937: 100.7
CEBPB	C/EBP-beta, CRP2, IL6DBP, LAP, NFIL6, TCF5	ENSG00000172216	CCAAT/enhancer binding protein beta	20	50190734-50192689	Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB004213, HPA061355, HPA062267	Supported		Enhanced	Nucleoplasm	Renal cancer:2.44e-12 (unfavourable)	Expressed in all	Expressed in all			adrenal gland: 112.4	Expressed in all		
CEBPD	C/EBP-delta, CELF, CRP3, NF-IL6-beta	ENSG00000221869	CCAAT/enhancer binding protein delta	8	47736909-47739086	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA067581			Supported	Nucleoplasm	Renal cancer:2.87e-7 (unfavourable), Breast cancer:2.28e-5 (favourable)	Expressed in all	Expressed in all			adipose tissue: 71.1	Cell line enhanced		HHSteC: 29.5;NB-4: 50.0;SiHa: 33.7
CEBPE	CRP1	ENSG00000092067	CCAAT/enhancer binding protein epsilon	14	23117304-23119616	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA002928, CAB005113	Enhanced		Enhanced	Nucleoplasm		Not detected	Tissue enriched	9	bone marrow: 26.0	small intestine: 2.7	Cell line enhanced		HL-60: 143.2;HMC-1: 26.7;NB-4: 58.7
CEBPG	GPE1BP, IG/EBP-1	ENSG00000153879	CCAAT/enhancer binding protein gamma	19	33373330-33382686	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA012024	Enhanced		Supported	Nucleoplasm	Endometrial cancer:7.97e-5 (unfavourable), Renal cancer:7.23e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 41.3	Expressed in all		
CIC	KIAA0306	ENSG00000079432	Capicua transcriptional repressor	19	42268537-42295797	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB026388, HPA044341, HPA064725	Approved		Supported	Nucleoplasm<br>Vesicles		Expressed in all	Expressed in all			testis: 54.9	Expressed in all		
CLOCK	bHLHe8, KAT13D, KIAA0334	ENSG00000134852	Clock circadian regulator	4	55427903-55547138	Enzymes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001867, HPA027565	Supported		Enhanced	Nucleoplasm		Expressed in all	Mixed			testis: 26.4	Expressed in all		
CNOT4	CLONE243, NOT4, NOT4H	ENSG00000080802	CCR4-NOT transcription complex subunit 4	7	135361795-135510127	Enzymes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA005737	Approved				Renal cancer:7.67e-6 (favourable), Liver cancer:1.19e-4 (unfavourable), Ovarian cancer:1.61e-4 (favourable)	Expressed in all	Expressed in all			testis: 33.3	Expressed in all		
CRAMP1	CRAMP1L, KIAA1426	ENSG00000007545	Cramped chromatin regulator homolog 1	16	1612325-1677908	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA041752	Uncertain		Approved	Nucleus<br>Nucleoli<br>Cytosol	Stomach cancer:4.93e-4 (favourable)	Expressed in all	Mixed			testis: 31.8	Expressed in all		
CREB1		ENSG00000118260	CAMP responsive element binding protein 1	2	207529737-207603431	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB003803, HPA019150	Supported		Enhanced	Nucleoplasm	Liver cancer:2.77e-5 (unfavourable)	Expressed in all	Expressed in all			testis: 59.1	Expressed in all		
CREB3	Luman, LZIP, sLZIP	ENSG00000107175	CAMP responsive element binding protein 3	9	35732335-35737004	Predicted membrane proteins, Transcription factors	Evidence at protein level	HPA030978			Supported	Cytosol	Renal cancer:3.77e-5 (favourable), Ovarian cancer:5.40e-4 (favourable), Liver cancer:5.57e-4 (unfavourable)	Expressed in all	Expressed in all			prostate: 55.8	Expressed in all		
CREB3L1	OASIS	ENSG00000157613	CAMP responsive element binding protein 3 like 1	11	46277661-46321422	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Evidence at protein level	HPA024069, CAB026151	Enhanced		Approved	Plasma membrane<br>Cytosol	Renal cancer:2.97e-4 (unfavourable), Endometrial cancer:3.92e-4 (favourable), Thyroid cancer:8.59e-4 (unfavourable)	Expressed in all	Mixed			cervix, uterine: 66.0	Cell line enhanced		fHDF/TERT166: 248.2
CREB3L2	BBF2H7, TCAG_1951439	ENSG00000182158	CAMP responsive element binding protein 3 like 2	7	137874979-138002067	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Evidence at protein level	HPA015068, HPA015534	Uncertain		Supported	Nucleoplasm<br>Endoplasmic reticulum		Expressed in all	Expressed in all			parathyroid gland: 110.9	Mixed		
CREB3L3	CREB-H	ENSG00000060566	CAMP responsive element binding protein 3 like 3	19	4153601-4173054	Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Evidence at protein level	HPA040671, HPA056228	Enhanced				Renal cancer:3.53e-6 (unfavourable)	Tissue enriched	Group enriched	104	duodenum: 241.6;liver: 61.0;small intestine: 278.7	colon,stomach: 1.8	Cell line enhanced		HDLM-2: 44.9;Hep G2: 10.3;U-266/70: 7.7
CREB3L4	AIbZIP, ATCE1, CREB3, CREB4, hJAL	ENSG00000143578	CAMP responsive element binding protein 3 like 4	1	153967534-153974363	Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Evidence at protein level	HPA038122	Enhanced		Approved	Nucleoplasm<br>Nuclear membrane<br>Mitochondria	Endometrial cancer:7.21e-4 (favourable)	Group enriched	Expressed in all			prostate: 170.5	Expressed in all		
CREB5	CRE-BPA, H_GS165L15.1	ENSG00000146592	CAMP responsive element binding protein 5	7	28299321-28825894	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA050020, HPA061622			Approved	Nucleus<br>Vesicles<br>Plasma membrane		Mixed	Mixed			gallbladder: 18.6	Cell line enhanced		HL-60: 49.5
CREBL2		ENSG00000111269	CAMP responsive element binding protein like 2	12	12611827-12645108	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA043738	Uncertain		Approved	Nucleoplasm<br>Mitochondria<br>Cytosol	Renal cancer:2.26e-5 (favourable)	Expressed in all	Expressed in all			adrenal gland: 173.3	Expressed in all		
CREBZF	ZF	ENSG00000137504	CREB/ATF bZIP transcription factor	11	85659708-85682908	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA021526, HPA063652	Uncertain		Approved	Nucleus<br>Mitochondria		Expressed in all	Expressed in all			parathyroid gland: 31.7	Expressed in all		
CREM	hCREM-2	ENSG00000095794	CAMP responsive element modulator	10	35126791-35212958	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001818, CAB018352	Enhanced		Supported	Nucleus<br>Vesicles	Renal cancer:1.23e-5 (unfavourable)	Expressed in all	Expressed in all			testis: 339.8	Expressed in all		
CRX	CORD2, CRD, LCA7, OTX3	ENSG00000105392	Cone-rod homeobox	19	47819779-47843330	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA036762, HPA036763	Enhanced					Not detected	Not detected			testis: 0.3	Not detected		
CSRNP1	AXUD1, DKFZp566F164, FAM130B, TAIP-3, URAX1	ENSG00000144655	Cysteine and serine rich nuclear protein 1	3	39141855-39154562	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA045207, HPA058463			Enhanced	Nucleoplasm<br>Vesicles	Renal cancer:1.07e-4 (favourable), Stomach cancer:6.47e-4 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 123.5	Cell line enhanced		SK-BR-3: 48.5
CSRNP2	C12ORF2, C12orf22, FAM130A1, PPP1R72, TAIP-12	ENSG00000110925	Cysteine and serine rich nuclear protein 2	12	51061205-51083664	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA018503, HPA019914	Approved		Approved	Nuclear speckles	Liver cancer:1.08e-4 (unfavourable), Urothelial cancer:2.78e-4 (favourable), Renal cancer:6.51e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 49.2	Expressed in all		
CSRNP3	FAM130A2, FLJ32093, PPP1R73, TAIP-2	ENSG00000178662	Cysteine and serine rich nuclear protein 3	2	165469647-165689407	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA017905	Supported		Approved	Nucleus<br>Nucleoli		Mixed	Tissue enhanced		cerebral cortex: 16.1	endometrium: 4.6	Group enriched	5	AF22: 9.7;PC-3: 2.2;SCLC-21H: 8.4;SH-SY5Y: 6.2
CTCF		ENSG00000102974	CCCTC-binding factor	16	67562407-67639183	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA004122, CAB062550, CAB068181, CAB068182	Supported		Supported	Nucleoplasm	Renal cancer:4.06e-4 (favourable), Liver cancer:4.21e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 58.6	Expressed in all		
CTCFL	BORIS, CT27, dJ579F20.2	ENSG00000124092	CCCTC-binding factor like	20	57495966-57525652	Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Evidence at protein level	HPA001472	Enhanced					Tissue enhanced	Tissue enriched	20	testis: 20.6	bone marrow: 1.0	Group enriched	41	HMC-1: 70.0;K-562: 103.5
CUX1	CASP, CDP, CDP/Cut, CDP/Cux, CDP1, Clox, CUT, CUTL1, CUX, Cux/CDP, GOLIM6	ENSG00000257923	Cut like homeobox 1	7	101815904-102283957	Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Evidence at protein level	HPA003277, HPA003317	Approved		Supported	Nucleoplasm<br>Golgi apparatus	Renal cancer:5.72e-7 (favourable), Glioma:9.90e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 82.5	Expressed in all		
CUX2	CDP2, CUTL2, KIAA0293	ENSG00000111249	Cut like homeobox 2	12	111034024-111350554	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Evidence at protein level							Tissue enhanced	Tissue enhanced		cerebral cortex: 12.2;liver: 9.6;prostate: 18.0	thyroid gland: 6.8	Cell line enhanced		HBEC3-KT: 4.6;SCLC-21H: 7.5;SH-SY5Y: 14.5
CXXC1	CFP1, CGBP, hCGBP, HsT2645, PCCX1, PHF18, SPP1, ZCGPC1	ENSG00000154832	CXXC finger protein 1	18	50282343-50288304	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA044511	Supported		Enhanced	Nucleus	Liver cancer:4.18e-6 (unfavourable), Pancreatic cancer:2.60e-4 (favourable)	Expressed in all	Expressed in all			fallopian tube: 28.8	Expressed in all		
DBP	DABP	ENSG00000105516	D-box binding PAR bZIP transcription factor	19	48630030-48637438	Predicted intracellular proteins, Transcription factors	Evidence at protein level						Lung cancer:1.16e-5 (favourable), Renal cancer:2.41e-5 (favourable), Head and neck cancer:5.49e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 41.4	Cell line enhanced		NB-4: 148.5
DBX1		ENSG00000109851	Developing brain homeobox 1	11	20156155-20160613	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA039802	Uncertain					Not detected	Not detected			testis: 0.2	Cell line enriched	9	NTERA-2: 1.0
DBX2	FLJ16139	ENSG00000185610	Developing brain homeobox 2	12	45014672-45051099	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA066053	Uncertain					Tissue enriched	Group enriched	5	cerebral cortex: 4.1;testis: 1.2	skin: 0.5	Not detected		
DDIT3	CHOP, CHOP10, GADD153	ENSG00000175197	DNA damage inducible transcript 3	12	57516588-57520517	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA058416, HPA068416	Approved		Supported	Nucleoplasm	Liver cancer:6.55e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 263.6	Expressed in all		
DEAF1	NUDR, SPN, ZMYND5	ENSG00000177030	DEAF1, transcription factor	11	644233-706715	Disease related genes, Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA030302	Approved		Supported	Nucleus<br>Nucleoli fibrillar center	Liver cancer:1.75e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 40.6	Expressed in all		
DLX1		ENSG00000144355	Distal-less homeobox 1	2	172084740-172089677	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA035666, HPA045884	Approved		Approved	Nucleus<br>Vesicles<br>Cell Junctions		Tissue enhanced	Tissue enhanced		adrenal gland: 1.6;cerebral cortex: 5.0	prostate: 0.8	Cell line enhanced		AN3-CA: 103.9
DLX2	TES-1	ENSG00000115844	Distal-less homeobox 2	2	172099439-172102900	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA056965			Approved	Nuclear speckles		Mixed	Not detected			cerebral cortex: 0.8	Group enriched	11	AN3-CA: 73.7;HEK 293: 46.5
DLX3		ENSG00000064195	Distal-less homeobox 3	17	49990005-49995224	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level						Endometrial cancer:4.61e-4 (unfavourable)	Mixed	Group enriched	5	placenta: 10.7;skin: 21.9	thyroid gland: 3.1	Cell line enhanced		BEWO: 131.0;SK-BR-3: 33.0
DLX4	BP1, DLX7, DLX8, DLX9	ENSG00000108813	Distal-less homeobox 4	17	49968970-49974959	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA059933	Uncertain		Approved	Nucleoplasm		Mixed	Tissue enhanced		placenta: 5.4	skin: 1.2	Cell line enhanced		BEWO: 22.0;CACO-2: 13.7;HAP1: 11.5;K-562: 12.0
DLX5		ENSG00000105880	Distal-less homeobox 5	7	97020392-97025097	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA005670	Approved		Approved	Nucleus		Tissue enriched	Tissue enhanced		endometrium: 20.2;placenta: 13.5;skin: 17.1	cervix, uterine: 9.6	Group enriched	5	BEWO: 41.0;HAP1: 24.0
DLX6		ENSG00000006377	Distal-less homeobox 6	7	97005548-97011039	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA030608, HPA061460	Uncertain		Approved	Nuclear bodies		Tissue enriched	Tissue enhanced		endometrium: 4.4;placenta: 4.3;testis: 5.4	cervix, uterine: 3.0	Cell line enhanced		AN3-CA: 9.4;BEWO: 32.1;HAP1: 15.7;SCLC-21H: 8.6;SH-SY5Y: 11.6
DMAP1	DNMAP1, DNMTAP1, EAF2, FLJ11543, KIAA1425, MEAF2, SWC4	ENSG00000178028	DNA methyltransferase 1 associated protein 1	1	44213455-44220681	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA028419, CAB033018	Uncertain		Supported	Nucleoplasm<br>Cytosol	Liver cancer:1.44e-4 (unfavourable)	Expressed in all	Expressed in all			adrenal gland: 40.4	Expressed in all		
DMBX1	OTX3, PAXB	ENSG00000197587	Diencephalon/mesencephalon homeobox 1	1	46506996-46514226	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA026811	Uncertain				Endometrial cancer:7.13e-5 (unfavourable)	Mixed	Tissue enhanced		testis: 1.2	adrenal gland,thyroid gland: 0.4	Cell line enhanced		AN3-CA: 11.9;CAPAN-2: 3.6;K-562: 3.9;SiHa: 4.4
DMRT1	CT154, DMT1	ENSG00000137090	Doublesex and mab-3 related transcription factor 1	9	841690-969090	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA027850	Enhanced					Tissue enriched	Tissue enriched	107	testis: 50.7	thyroid gland: 0.4	Cell line enriched	8	SCLC-21H: 3.8
DMRT2		ENSG00000173253	Doublesex and mab-3 related transcription factor 2	9	1049858-1057552	Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Evidence at transcript level	HPA029297	Uncertain					Tissue enhanced	Tissue enriched	7	parathyroid gland: 108.9	kidney: 16.2	Cell line enhanced		HaCaT: 3.3;RH-30: 4.8;RPMI-8226: 13.4;SCLC-21H: 3.4;SK-MEL-30: 4.0;WM-115: 3.5
DMRT3	DMRTA3	ENSG00000064218	Doublesex and mab-3 related transcription factor 3	9	976964-991731	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA077685	Approved					Tissue enhanced	Tissue enriched	6	parathyroid gland: 65.3	thyroid gland: 10.4	Cell line enhanced		HAP1: 1.3;HEK 293: 1.5;SCLC-21H: 1.1;THP-1: 1.8
DMRTA1		ENSG00000176399	DMRT like family A1	9	22446841-22455740	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA044764, HPA062253	Uncertain		Approved	Vesicles	Renal cancer:1.14e-6 (favourable)	Mixed	Tissue enhanced		parathyroid gland: 6.5	liver: 4.3	Cell line enhanced		BJ hTERT+: 5.1
DMRTA2		ENSG00000142700	DMRT like family A2	1	50417550-50423500	Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA043098, HPA062958	Uncertain		Approved	Nucleoplasm<br>Mitochondria		Tissue enhanced	Not detected			testis: 0.7	Cell line enhanced		BEWO: 3.0;HBEC3-KT: 2.3;RH-30: 11.1;SH-SY5Y: 2.6;SiHa: 2.5
DMRTB1		ENSG00000143006	DMRT like family B with proline rich C-terminal 1	1	53459399-53467488	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA036490, HPA058553	Enhanced					Tissue enhanced	Tissue enriched	67	testis: 69.6	epididymis: 1.0	Not detected		
DMRTC1		ENSG00000269502	DMRT like family C1	X	72872025-72943814	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA046874, HPA046992	Uncertain					Not detected	Tissue enhanced		cerebral cortex: 2.3	fallopian tube,thyroid gland: 1.3	Not detected		
DMRTC1B		ENSG00000184911	DMRT like family C1B	X	72777009-72848802	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA046874, HPA046992	Uncertain					Not detected	Tissue enhanced		cerebral cortex: 16.6	ovary: 10.3	Not detected		
DMRTC2		ENSG00000142025	DMRT like family C2	19	41844743-41852333	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA045016	Uncertain					Not detected	Tissue enriched	128	testis: 48.6	lymph node,parathyroid gland,thyroid gland: 0.3	Not detected		
DMTF1	DMP1, DMTF, hDMP1, MRUL	ENSG00000135164	Cyclin D binding myb like transcription factor 1	7	87152361-87196337	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA023846	Supported		Supported	Nucleoplasm	Renal cancer:4.39e-5 (unfavourable)	Expressed in all	Expressed in all			testis: 84.1	Expressed in all		
